,Title,Date,Summary,Rating,Metascore
323,All I Can Say,"Jun 26, 2020","Shannon Hoon, lead singer of the rock band Blind Melon, filmed himself from 1990-95 with a Hi8 video camera, recording up until a few hours before his sudden death at the age of 28. His camera was a diary and his closest confidant. In the hundreds of hours of footage, Hoon
meticulously documented his life – his family, his creative process, his television, his band’s rise to fame and his struggle with addiction. He filmed his daughter’s birth, and archived the politics and culture of the 90’s, an era right before the internet changed the world. Created with his own footage, voice and music, this intimate autobiography is a prescient exploration of experience and memory in the age of video. It is also Shannon Hoon’s last work, completed 23 years after his death.",Not Rated,61
324,Rent-A-Pal,"Sep 11, 2020","Set in 1990, a lonely bachelor named David (Brian Landis Folkins) searches for an escape from the day-to-day drudgery of caring for his aging mother (Kathleen Brady). While seeking a partner through a video dating service, he discovers a strange VHS tape called Rent-A-Pal. Hosted by the charming and charismatic Andy (Wil Wheaton), the tape offers him much-needed company, compassion, and friendship. But, Andy’s friendship comes at a cost, and David desperately struggles to afford the price of admission.",Unrated,61
325,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"Feb 7, 2020","You ever hear the one about the cop, the songbird, the psycho and the mafia princess?  Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn) is a twisted tale told by Harley herself, as only Harley can tell it.  When Gotham’s most nefariously narcissistic villain, Roman Sionis, and his zealous right-hand, Zsasz, put a target on a young girl named Cass, the city is turned upside down looking for her.  Harley, Huntress, Black Canary and Renee Montoya’s paths collide, and the unlikely foursome have no choice but to team up to take Roman down.",R,60
326,Bad Hair,"Oct 23, 2020","In 1989 an ambitious young woman gets a weave in order to succeed in the image-obsessed world of music television. However, her flourishing career may come at a great cost when she realizes that her new hair may have a mind of its own.",Unrated,60
327,House of Cardin,"Aug 28, 2020","Millions know the iconic logo and ubiquitous signature but few know the man behind the larger than life label.  House of Cardin is a rare peek into the mind of a genius, an authorized feature documentary chronicling the life and design of Cardin. A true original, Mr. Cardin has granted the directors exclusive access to his archives and his empire, and unprecedented interviews at the sunset of a glorious career.",Not Rated,60
328,Matthias & Maxime,"Aug 28, 2020","Two childhood best friends are asked to share a kiss for the purposes of a student short film. Soon, a lingering doubt sets in, confronting both men with their preferences, threatening the brotherhood of their social circle, and, eventually, changing their lives.",Not Rated,60
329,Timmy Failure: Mistakes Were Made,"Feb 7, 2020","An 11-year old boy who believes that he is the best detective in town runs the agency Total Failures with his best friend, an imaginary 1,200 pound polar bear.",PG,60
330,Wonder Woman 1984,"Dec 25, 2020",Fast forward to the 1980s as Wonder Woman’s next big screen adventure finds her facing two all-new foes: Max Lord and The Cheetah.,PG-13,60
331,The Short History of the Long Road,"Jun 16, 2020","For teenage Nola (Sabrina Carpenter), home is the open road. Her self-reliant father (Steven Ogg) is her anchor in a life of transience. The pair crisscross the United States in a lovingly refurbished RV, relishing their independence and making ends meet by doing odd jobs. A shocking rupture, though, casts Nola out on her own. She makes her way to Albuquerque, New Mexico, in search of a mother she never knew. When her motorhome unexpectedly breaks down, she forges a bond with an auto body shop owner (Danny Trejo), and senses the possibility of mooring her ship in this storm.",Not Rated,60
332,Over the Moon,"Oct 23, 2020","Fueled with determination and a passion for science, a bright young girl builds a rocket ship to the moon to prove the existence of a legendary Moon Goddess. There she ends up on an unexpected quest, and discovers a whimsical land of fantastical creatures. ",TV-PG,60
333,Sea Fever,"Apr 10, 2020","Siobhán's a marine biology student who prefers spending her days alone in a lab. She has to endure a week on a ragged fishing trawler, where she’s miserably at odds with the close-knit crew. But out in the deep Atlantic, an unfathomable life form ensnares the boat. When members of the crew succumb to a strange infection, Siobhán must overcome her alienation and anxiety to win the crew’s trust, before everyone is lost.",TV-14,60
334,To the Stars,"Apr 24, 2020","In a god-fearing small town in 1960s Oklahoma, bespectacled and reclusive teen Iris endures the booze-induced antics of her mother and daily doses of bullying from her classmates. She finds solace in Maggie, the charismatic and enigmatic new girl at school, who hones in on Iris’s untapped potential and coaxes her out of her shell. When Maggie’s mysterious past can no longer be suppressed, the tiny community is thrown into a state of panic, leaving Maggie to take potentially drastic measures and inciting Iris to stand up for her friend and herself.",Not Rated,60
335,All Day and a Night,"May 1, 2020","A young man who committed a homicide deals with the repercussions of his action,",R,60
336,Sibyl,"Sep 11, 2020","Sibyl follows a psychotherapist (Virginie Efira) who decides to quit her practice and return to writing instead. As Sibyl starts dropping patients, she begins to struggle with excess time and a lack of inspiration–until she gets a call from Margot (Adèle Exarchopoulos), a young actress wrapped up in a dramatic affair with her costar, Igor (Gaspard Ulliel), who happens to be married to the film’s director (Sandra Hüller). Becoming further enmeshed in Margot’s life, Sibyl starts to blur past and present, fiction with reality, and the personal with the professional as she begins to use Margot’s life as source material for her novel.",Not Rated,59
337,The Secret Garden,"Aug 7, 2020","Set in England during 1947, The Secret Garden follows a young orphan girl who, after being sent to live with her uncle, discovers a magical garden on the grounds of his estate. ",PG,59
